step,phase,obs,action_raw,action_clipped,action_scaled
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  2.1982193e-04 -2.1982193e-04
  6.5937045e-04 -2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04 -7.3730171e-01 -1.0624863e-02
  2.0645931e-01 -1.9990952e+00 -4.9155360e-01 -2.3324725e-01
 -1.7345231e+00  5.3163600e-01]","[-0.61817425 -0.02798097  0.25704172 -1.8994062  -0.3245279  -0.2819342
 -1.7116681   0.5621144 ]","[-0.61817425 -0.02798097  0.25704172 -1.8994062  -0.3245279  -0.2819342
 -1.7116681   0.5621144 ]","[-0.15454356 -0.00699524  0.06426043 -0.47485155 -0.08113197 -0.07048355
 -0.42791703  0.1405286 ]"
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -6.5937045e-04  1.0989190e-03  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.1817425e-01 -2.7980968e-02
  2.5704172e-01 -1.8994062e+00 -3.2452789e-01 -2.8193420e-01
 -1.7116681e+00  5.6211442e-01]","[-0.5485572  -0.04612768  0.33245555 -1.808183   -0.2036225  -0.23921528
 -1.6537782   0.56701404]","[-0.5485572  -0.04612768  0.33245555 -1.808183   -0.2036225  -0.23921528
 -1.6537782   0.56701404]","[-0.1371393  -0.01153192  0.08311389 -0.45204574 -0.05090563 -0.05980382
 -0.41344455  0.14175351]"
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -6.5937045e-04
  6.5937045e-04 -2.1982193e-04  2.1982193e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -5.4855722e-01 -4.6127677e-02
  3.3245555e-01 -1.8081830e+00 -2.0362251e-01 -2.3921528e-01
 -1.6537782e+00  5.6701404e-01]","[-0.45125917 -0.07084811  0.39222068 -1.7306696  -0.03537309 -0.16476005
 -1.4983841   0.58950585]","[-0.45125917 -0.07084811  0.39222068 -1.7306696  -0.03537309 -0.16476005
 -1.4983841   0.58950585]","[-0.11281479 -0.01771203  0.09805517 -0.4326674  -0.00884327 -0.04119001
 -0.37459603  0.14737646]"
23,0.359375,"[ 7.7301043e-01 -6.3439327e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -6.5937045e-04 -2.1982193e-04
 -1.0989190e-03 -6.5937045e-04 -4.5125917e-01 -7.0848107e-02
  3.9222068e-01 -1.7306696e+00 -3.5373092e-02 -1.6476005e-01
 -1.4983841e+00  5.8950585e-01]","[-0.36148256 -0.09493228  0.45210594 -1.6144513   0.12481304 -0.09800626
 -1.368322    0.6094521 ]","[-0.36148256 -0.09493228  0.45210594 -1.6144513   0.12481304 -0.09800626
 -1.368322    0.6094521 ]","[-0.09037064 -0.02373307  0.11302648 -0.40361282  0.03120326 -0.02450156
 -0.3420805   0.15236303]"
24,0.375,"[ 7.07106769e-01 -7.07106769e-01 -2.91824341e-02 -2.99453735e-02
 -7.61041641e-02 -5.72204590e-04  4.94012833e-02 -1.33514404e-03
  5.13086319e-02  2.42233276e-02  2.19821930e-04  2.19821930e-04
  6.59370446e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -1.09891896e-03 -3.61482561e-01 -9.49322805e-02
  4.52105939e-01 -1.61445129e+00  1.24813035e-01 -9.80062559e-02
 -1.36832201e+00  6.09452128e-01]","[-2.9440472e-01 -1.4341684e-01  5.4837424e-01 -1.4842936e+00
  3.0974808e-01 -7.6351315e-04 -1.2112170e+00  6.2847596e-01]","[-2.9440472e-01 -1.4341684e-01  5.4837424e-01 -1.4842936e+00
  3.0974808e-01 -7.6351315e-04 -1.2112170e+00  6.2847596e-01]","[-7.3601179e-02 -3.5854209e-02  1.3709356e-01 -3.7107340e-01
  7.7437021e-02 -1.9087829e-04 -3.0280426e-01  1.5711899e-01]"
25,0.390625,"[ 6.3439327e-01 -7.7301043e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04  2.1982193e-04 -1.0989190e-03
 -2.1982193e-04 -2.1982193e-04 -2.9440472e-01 -1.4341684e-01
  5.4837424e-01 -1.4842936e+00  3.0974808e-01 -7.6351315e-04
 -1.2112170e+00  6.2847596e-01]","[-0.20752269 -0.18021274  0.63324016 -1.3593669   0.44981554  0.0239596
 -1.1195759   0.64649737]","[-0.20752269 -0.18021274  0.63324016 -1.3593669   0.44981554  0.0239596
 -1.1195759   0.64649737]","[-0.05188067 -0.04505318  0.15831004 -0.33984172  0.11245389  0.0059899
 -0.27989396  0.16162434]"
26,0.40625,"[ 5.5557024e-01 -8.3146960e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -2.8610229e-03  4.9401283e-02 -1.3351440e-03
  5.0545692e-02  2.4986267e-02 -1.9780160e-03 -6.5937045e-04
  1.5384675e-03 -2.0879079e-02 -6.5937045e-04 -6.5937045e-04
 -9.4505316e-03  5.4944991e-03 -2.0752269e-01 -1.8021274e-01
  6.3324016e-01 -1.3593669e+00  4.4981554e-01  2.3959596e-02
 -1.1195759e+00  6.4649737e-01]","[-0.08408195 -0.16896027  0.63174343 -1.2246271   0.61958134  0.05851658
 -1.0460771   0.67762786]","[-0.08408195 -0.16896027  0.63174343 -1.2246271   0.61958134  0.05851658
 -1.0460771   0.67762786]","[-0.02102049 -0.04224007  0.15793586 -0.30615678  0.15489534  0.01462915
 -0.26151928  0.16940697]"
27,0.421875,"[ 4.7139674e-01 -8.8192129e-01 -2.9563904e-02 -2.9945374e-02
 -7.5722694e-02 -1.0871887e-02  4.9401283e-02 -1.3351440e-03
  4.7875404e-02  2.7275085e-02 -2.1982193e-04 -6.5937045e-04
  1.5384675e-03 -5.6483556e-02  6.5937045e-04 -6.5937045e-04
 -1.7362595e-02  1.3406563e-02 -8.4081948e-02 -1.6896027e-01
  6.3174343e-01 -1.2246271e+00  6.1958134e-01  5.8516584e-02
 -1.0460771e+00  6.7762786e-01]","[ 0.08450937 -0.17531706  0.68725    -1.0444305   0.8461864   0.11091506
 -0.8981804   0.7297213 ]","[ 0.08450937 -0.17531706  0.68725    -1.0444305   0.8461864   0.11091506
 -0.8981804   0.7297213 ]","[ 0.02112734 -0.04382927  0.1718125  -0.26110762  0.2115466   0.02772876
 -0.2245451   0.18243033]"
28,0.43750000000000006,"[ 3.8268343e-01 -9.2387950e-01 -2.9563904e-02 -2.9945374e-02
 -7.5341225e-02 -2.4223328e-02  4.9401283e-02 -1.3351440e-03
  4.4060707e-02  3.0708313e-02  6.5937045e-04 -2.1982193e-04
  2.8571130e-03 -7.5384617e-02 -6.5937045e-04 -2.1982193e-04
 -2.3956014e-02  2.2197818e-02  8.4509365e-02 -1.7531706e-01
  6.8725002e-01 -1.0444305e+00  8.4618640e-01  1.1091506e-01
 -8.9818043e-01  7.2972131e-01]","[ 0.3586031  -0.05728734  0.57433116 -0.83924484  1.0378028   0.16376552
 -0.6386914   0.7623271 ]","[ 0.3586031  -0.05728734  0.57433116 -0.83924484  1.0378028   0.16376552
 -0.6386914   0.7623271 ]","[ 0.08965077 -0.01432184  0.14358279 -0.20981121  0.2594507   0.04094138
 -0.15967286  0.19058177]"
29,0.45312499999999994,"[ 2.9028466e-01 -9.5694035e-01 -2.9563904e-02 -2.9945374e-02
 -7.4578285e-02 -4.0246010e-02  4.9401283e-02 -1.3351440e-03
  3.8338661e-02  3.4523964e-02 -1.5384675e-03 -6.5937045e-04
  5.4944991e-03 -8.0659293e-02  6.5937045e-04 -6.5937045e-04
 -2.9230786e-02  1.6043950e-02  3.5860309e-01 -5.7287343e-02
  5.7433116e-01 -8.3924484e-01  1.0378028e+00  1.6376552e-01
 -6.3869143e-01  7.6232708e-01]","[ 0.87685615  0.23308536  0.18737143 -0.5169944   1.2441875   0.25548175
 -0.2555214   0.6053502 ]","[ 0.87685615  0.23308536  0.18737143 -0.5169944   1.2441875   0.25548175
 -0.2555214   0.6053502 ]","[ 0.21921404  0.05827134  0.04684286 -0.1292486   0.31104687  0.06387044
 -0.06388035  0.15133755]"
30,0.46875,"[ 1.9509032e-01 -9.8078525e-01 -2.9563904e-02 -2.9945374e-02
 -7.3433876e-02 -5.8175087e-02  4.9782753e-02 -1.3351440e-03
  3.2235146e-02  3.9101601e-02  2.1982193e-04  6.5937045e-04
  6.3735964e-03 -9.6043967e-02  6.5937045e-04 -2.1982193e-04
 -3.2307722e-02  3.0549431e-02  8.7685615e-01  2.3308536e-01
  1.8737143e-01 -5.1699442e-01  1.2441875e+00  2.5548175e-01
 -2.5552139e-01  6.0535020e-01]","[ 0.98432213  0.24901599  0.23079263 -0.3912244   1.2862101   0.18373954
  0.18266962  0.6586963 ]","[ 0.98432213  0.24901599  0.23079263 -0.3912244   1.2862101   0.18373954
  0.18266962  0.6586963 ]","[ 0.24608053  0.062254    0.05769816 -0.0978061   0.32155252  0.04593489
  0.04566741  0.16467407]"
